A1,"['A7', 'G7', 'H7', 'B8', 'C8']"
B1,"['A7', 'G7', 'H7', 'B8', 'D8']"
C1,"['A7', 'G7', 'H7', 'B8', 'E8']"
D1,"['A7', 'G7', 'H7', 'F8', 'C8']"
E1,"['A7', 'G7', 'H7', 'F8', 'D8']"
F1,"['A7', 'G7', 'H7', 'F8', 'E8']"
G1,"['A7', 'G8', 'C9', 'D9', 'F9']"
H1,"['A7', 'G8', 'C9', 'D9', 'G9']"
A2,"['A7', 'G8', 'C9', 'D9', 'H9']"
B2,"['A7', 'G8', 'C9', 'A10', 'F9']"
C2,"['A7', 'G8', 'C9', 'A10', 'G9']"
D2,"['A7', 'G8', 'C9', 'A10', 'H9']"
E2,"['A7', 'G8', 'C9', 'C10', 'F9']"
F2,"['A7', 'G8', 'C9', 'C10', 'G9']"
G2,"['A7', 'G8', 'C9', 'C10', 'H9']"
H2,"['B7', 'G8', 'B8', 'D9', 'F9']"
A3,"['B7', 'G8', 'B8', 'D9', 'G9']"
B3,"['B7', 'G8', 'B8', 'D9', 'H9']"
C3,"['B7', 'G8', 'B8', 'A10', 'F9']"
D3,"['B7', 'G8', 'B8', 'A10', 'G9']"
E3,"['B7', 'G8', 'B8', 'A10', 'H9']"
F3,"['B7', 'H8', 'B8', 'C10', 'F9']"
G3,"['B7', 'H8', 'B8', 'C10', 'G9']"
H3,"['B7', 'H8', 'B8', 'C10', 'H9']"
A4,"['B7', 'H8', 'F8', 'D9', 'F9']"
B4,"['B7', 'H8', 'F8', 'D9', 'G9']"
C4,"['B7', 'H8', 'F8', 'D9', 'H9']"
D4,"['B7', 'H8', 'F8', 'A10', 'F9']"
E4,"['B7', 'H8', 'F8', 'A10', 'G9']"
F4,"['B7', 'H8', 'F8', 'A10', 'H9']"
G4,"['C7', 'H8', 'F8', 'C10', 'F9']"
H4,"['C7', 'H8', 'F8', 'C10', 'G9']"
A5,"['C7', 'H8', 'F8', 'C10', 'H9']"
B5,"['C7', 'H8', 'E10', 'F10', 'C8']"
C5,"['C7', 'H8', 'E10', 'F10', 'D8']"
D5,"['C7', 'H8', 'E10', 'F10', 'E8']"
E5,"['C7', 'A9', 'E10', 'G10', 'C8']"
F5,"['C7', 'A9', 'E10', 'G10', 'D8']"
G5,"['C7', 'A9', 'E10', 'G10', 'E8']"
H5,"['C7', 'A9', 'E10', 'H10', 'C8']"
A6,"['C7', 'A9', 'E10', 'H10', 'D8']"
B6,"['C7', 'A9', 'E10', 'H10', 'E8']"
C6,"['C7', 'A9', 'A11', 'F10', 'C8']"
D6,"['C7', 'A9', 'A11', 'F10', 'D8']"
E6,"['C7', 'A9', 'A11', 'F10', 'E8']"
F6,"['D7', 'A9', 'A11', 'G10', 'C8']"
G6,"['D7', 'A9', 'A11', 'G10', 'D8']"
H6,"['D7', 'A9', 'A11', 'G10', 'E8']"
A7,"['D7', 'A9', 'A11', 'H10', 'C8']"
B7,"['D7', 'A9', 'A11', 'H10', 'D8']"
C7,"['D7', 'A9', 'A11', 'H10', 'E8']"
D7,"['D7', 'B9', 'B11', 'F10', 'C8']"
E7,"['D7', 'B9', 'B11', 'F10', 'D8']"
F7,"['D7', 'B9', 'B11', 'F10', 'E8']"
G7,"['D7', 'B9', 'B11', 'G10', 'C8']"
H7,"['D7', 'B9', 'B11', 'G10', 'D8']"
A8,"['D7', 'B9', 'B11', 'G10', 'E8']"
B8,"['D7', 'B9', 'B11', 'H10', 'C8']"
C8,"['D7', 'B9', 'B11', 'H10', 'D8']"
D8,"['D7', 'B9', 'B11', 'H10', 'E8']"
E8,"['E7', 'C11', 'D9', 'E11', 'F11']"
F8,"['E7', 'C11', 'D9', 'E11', 'G11']"
G8,"['E7', 'C11', 'D9', 'E11', 'H11']"
H8,"['E7', 'C11', 'D9', 'A12', 'F11']"
A9,"['E7', 'C11', 'D9', 'A12', 'G11']"
B9,"['E7', 'C11', 'D9', 'A12', 'H11']"
C9,"['E7', 'C11', 'E9', 'H7', 'F11']"
D9,"['E7', 'C11', 'E9', 'H7', 'G11']"
E9,"['E7', 'C11', 'E9', 'H7', 'H11']"
F9,"['E7', 'C11', 'A10', 'E11', 'F11']"
G9,"['E7', 'C11', 'A10', 'E11', 'G11']"
H9,"['E7', 'C11', 'A10', 'E11', 'H11']"
A10,"['E7', 'C11', 'A10', 'A12', 'F11']"
B10,"['E7', 'C11', 'A10', 'A12', 'G11']"
C10,"['E7', 'C11', 'A10', 'A12', 'H11']"
D10,"['F7', 'D11', 'B10', 'H7', 'F11']"
E10,"['F7', 'D11', 'B10', 'H7', 'G11']"
F10,"['F7', 'D11', 'B10', 'H7', 'H11']"
G10,"['F7', 'D11', 'C10', 'E11', 'F11']"
H10,"['F7', 'D11', 'C10', 'E11', 'G11']"
A11,"['F7', 'D11', 'C10', 'E11', 'H11']"
B11,"['F7', 'D11', 'C10', 'A12', 'F11']"
C11,"['F7', 'D11', 'C10', 'A12', 'G11']"
D11,"['F7', 'D11', 'C10', 'A12', 'H11']"
E11,"['F7', 'D11', 'D10', 'H7', 'F11']"
F11,"['F7', 'D11', 'D10', 'H7', 'G11']"
G11,"['F7', 'D11', 'D10', 'H7', 'H11']"
H11,"['F7', 'D11', 'B12', 'E10', 'F9']"
