MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",138.0
Water,713.0
NEB BsaI-HFv2,46.0
Promega T4 DNA Ligase,23.0

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_Pro_Plate_Set.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/examples/part_linker_csvs/BIOLEGIO_BASIC_Pro_Plate_Set.csv
5,parts_linkers_160120.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/examples/part_linker_csvs/parts_linkers_160120.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,6,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7')"
LMP-P,BASIC_L3S2P21_J23101_RiboJ,UTR1-S,2,"('G7', 'H7')"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('A8', 'B8')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('C8',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('D8',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('E8',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('F8',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('G8',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('H8',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('A9', 'B9')"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('C9', 'D9')"
LMP-P,BASIC_L3S2P21_J23101_RiboJ,UTR3-S,4,"('E9', 'F9', 'G9', 'H9')"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('A10',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('B10',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('C10',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('D10',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('E10',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('F10',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('G10',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR1-S,2,"('H10', 'A11')"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('B11',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('C11',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('D11',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('E11',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('F11',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('G11',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('H11',)"
LMP-P,BASIC_L3S2P21_J23101_RiboJ,UTR2-S,1,"('A12',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('B12',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('C12',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('D12',)"

