MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",57.0
Water,294.5
NEB BsaI-HFv2,19.0
Promega T4 DNA Ligase,9.5

SOURCE_PLATES
Deck position,Source plate,Path
2,221121_parts.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/221121_parts.csv
5,BIOLEGIO_BASIC_Pro_Plate_Set.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/BIOLEGIO_BASIC_Pro_Plate_Set.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_36_CmR-p15A_v1.0,LMP-S,2,"('A7', 'B7')"
LMP-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('C7',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('D7',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('E7',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('F7',)"
LMP-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('G7',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('H7',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('A8',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('B8',)"
LMP-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,1,"('C8',)"
LMP-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('D8',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('E8',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('F8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('G8',)"
LMP-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('H8',)"
LMP-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('A9',)"

