MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",132.0
Water,682.0
NEB BsaI-HFv2,44.0
Promega T4 DNA Ligase,22.0

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_STD_SET.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/BIOLEGIO_BASIC_STD_SET.csv
5,parts_linkers_160120.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/parts_linkers_160120.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,6,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7')"
LMP-P,BASIC_L3S2P21_J23106_RiboJ,UTR3-S,1,"('G7',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR2-S,2,"('H7', 'A8')"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('B8',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('C8',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('D8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('E8',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('F8',)"
LMP-P,BASIC_L3S2P21_J23106_RiboJ,UTR2-S,4,"('G8', 'H8', 'A9', 'B9')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('C9',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,2,"('D9', 'E9')"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('F9',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('G9',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('H9',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,2,"('A10', 'B10')"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,2,"('C10', 'D10')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('E10',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('F10',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('G10',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('H10',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('A11',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('B11',)"
LMP-P,BASIC_L3S2P21_J23101_RiboJ,UTR1-S,2,"('C11', 'D11')"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('E11',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('F11',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('G11',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,LMS-S,1,"('H11',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('A12',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,1,"('B12',)"

