MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",66.0
Water,341.0
NEB BsaI-HFv2,22.0
Promega T4 DNA Ligase,11.0

SOURCE_PLATES
Deck position,Source plate,Path
2,221212_parts.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/ds constructs in sv18/221212_parts.csv
5,BIOLEGIO_BASIC_Pro_Plate_Set.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/ds constructs in sv18/BIOLEGIO_BASIC_Pro_Plate_Set.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_18,LMP-S,2,"('A7', 'B7')"
LMP-P,1,LMS-S,1,"('C7',)"
LMP-P,2,LMS-S,1,"('D7',)"
LMP-P,3,LMS-S,1,"('E7',)"
LMP-P,4,LMS-S,1,"('F7',)"
LMP-P,5,LMS-S,1,"('G7',)"
LMP-P,6,LMS-S,1,"('H7',)"
LMP-P,7,LMS-S,1,"('A8',)"
LMP-P,8,LMS-S,1,"('B8',)"
LMP-P,9,LMS-S,1,"('C8',)"
LMP-P,10,LMS-S,1,"('D8',)"
LMP-P,11,LMS-S,1,"('E8',)"
LMP-P,12,LMS-S,1,"('F8',)"
LMP-P,13,LMS-S,1,"('G8',)"
LMP-P,14,LMS-S,1,"('H8',)"
LMP-P,15,LMS-S,1,"('A9',)"
LMP-P,16,LMS-S,1,"('B9',)"
LMP-P,17,LMS-S,1,"('C9',)"
LMP-P,18,LMS-S,1,"('D9',)"

