prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_36_CmR-p15A_v1.0,LMP-S,44,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7', 'G7', 'H7', 'A8', 'B8', 'C8', 'D8', 'E8', 'F8', 'G8', 'H8', 'A9', 'B9', 'C9', 'D9', 'E9', 'F9', 'G9', 'H9', 'A10', 'B10', 'C10', 'D10', 'E10', 'F10', 'G10', 'H10', 'A11', 'B11', 'C11', 'D11', 'E11', 'F11', 'G11', 'H11', 'A12', 'B12', 'C12', 'D12')"
LMP-P,US_13,UTR3-S,1,"('E12',)"
UTR3-RBS1-P,DS_1,LMS-S,1,"('F12',)"
UTR3-RBS1-P,DS_2,LMS-S,1,"('G12',)"
UTR3-RBS1-P,DS_3,LMS-S,1,"('H12',)"
UTR3-RBS2-P,DS_1,LMS-S,1,"('A13',)"
UTR3-RBS2-P,DS_2,LMS-S,1,"('B13',)"
UTR3-RBS2-P,DS_3,LMS-S,1,"('C13',)"
UTR3-RBS3-P,DS_1,LMS-S,1,"('D13',)"
UTR3-RBS3-P,DS_2,LMS-S,1,"('E13',)"
UTR3-RBS3-P,DS_3,LMS-S,1,"('F13',)"
LMP-P,US_14,UTR3-S,1,"('G13',)"
LMP-P,US_15,UTR3-S,1,"('H13',)"
LMP-P,US_13,UTR2-S,1,"('A14',)"
UTR2-RBS1-P,DS_4,LMS-S,1,"('B14',)"
UTR2-RBS1-P,DS_5,LMS-S,1,"('C14',)"
UTR2-RBS1-P,DS_6,LMS-S,1,"('D14',)"
UTR2-RBS2-P,DS_4,LMS-S,1,"('E14',)"
UTR2-RBS2-P,DS_5,LMS-S,1,"('F14',)"
UTR2-RBS2-P,DS_6,LMS-S,1,"('G14',)"
UTR2-RBS3-P,DS_4,LMS-S,1,"('H14',)"
UTR2-RBS3-P,DS_5,LMS-S,1,"('A15',)"
UTR2-RBS3-P,DS_6,LMS-S,1,"('B15',)"
LMP-P,US_14,UTR2-S,1,"('C15',)"
LMP-P,US_15,UTR2-S,1,"('D15',)"
LMP-P,US_1,UTR1-S,1,"('E15',)"
UTR1-RBS1-P,DS_7,LMS-S,1,"('F15',)"
UTR1-RBS1-P,DS_8,LMS-S,1,"('G15',)"
UTR1-RBS1-P,DS_9,LMS-S,1,"('H15',)"
