MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",42.0
Water,217.0
NEB BsaI-HFv2,14.0
Promega T4 DNA Ligase,7.0

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_RBS_EXT_SET.csv,C:/Users/Geoff/Github/DNA-BOT/dnabot/MRes2025_02/data/BIOLEGIO_BASIC_RBS_EXT_SET.csv
5,part_plate_2_230419.csv,C:/Users/Geoff/Github/DNA-BOT/dnabot/MRes2025_02/data/part_plate_2_230419.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,1,"('A7',)"
LMP-P,BASIC_L3S2P21_J23105_RiboJ,UTR1-S,1,"('B7',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,1,"('C7',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('D7',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('E7',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('F7',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('G7',)"
LMP-P,BASIC_L3S2P21_J23105_RiboJ,UTR2-S,1,"('H7',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('A8',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('B8',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('C8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,1,"('D8',)"

