Part/linker,Well,Part concentration (ng/uL)
L1-S,A1,
L2-S,A2,
L3-S,A3,
L4-S,A4,
L5-S,A5,
L6-S,A6,
LMP-S,A7,
LMS-S,A8,
LF1-S,A9,
U1-AM12-P,A10,
U2-AM12-P,A11,
U3-AM12-P R,A12,
L1-P,B1,
L2-P,B2,
L3-P,B3,
L4-P,B4,
L5-P,B5,
L6-P,B6,
LMP-P,B7,
LMS-P,B8,
LF1-P,B9,
U1-AM24-P,B10,
U2-AM24-P,B11,
U3-AM24-P,B12,
UTR1-S,C1,
UTR2-S,C2,
UTR3-S,C3,
UTR1-RBS1-P,C4,
UTR1-RBS2-P,C5,
UTR1-RBS3-P,C6,
UTR2-RBS1-P,C7,
UTR2-RBS2-P,C8,
UTR2-RBS3-P,C9,
UTR3-RBS1-P,C10,
UTR3-RBS2-P,C11,
UTR3-RBS3-P,C12,
UTR1-A01-P,D1,
UTR1-A02-P,D2,
UTR1-A03-P,D3,
UTR1-A04-P,D4,
UTR1-A05-P,D5,
UTR1-A06-P,D6,
UTR1-A07-P,D7,
UTR1-A08-P,D8,
UTR1-A09-P,D9,
UTR1-A10-P,D10,
UTR1-A11-P,D11,
UTR1-A12-P,D12,
UTR2-A01-P,E1,
UTR2-A02-P,E2,
UTR2-A03-P,E3,
UTR2-A04-P,E4,
UTR2-A05-P,E5,
UTR2-A06-P,E6,
UTR2-A07-P,E7,
UTR2-A08-P,E8,
UTR2-A09-P,E9,
UTR2-A10-P,E10,
UTR2-A11-P,E11,
UTR2-A12-P,E12,
UTR3-A01-P,F1,
UTR3-A02-P,F2,
UTR3-A03-P,F3,
UTR3-A04-P,F4,
UTR3-A05-P,F5,
UTR3-A06-P,F6,
UTR3-A07-P,F7,
UTR3-A08-P,F8,
UTR3-A09-P,F9,
UTR3-A10-P,F10,
UTR3-A11-P,F11,
UTR3-A12-P,F12,
LF2-S,G1,
LF3-S,G2,
LF4-S,G3,
LF5-S,G4,
LF6-S,G5,
,G6,
,G7,
,G8,
,G9,
,G10,
,G11,
,G12,
LF2-P,H1,
LF3-P,H2,
LF4-P,H3,
LF5-P,H4,
LF6-P,H5,
,H6,
,H7,
,H8,
,H9,
,H10,
,H11,
,H12,
