Part/linker,Well,Part concentration (ng/uL)
L1-P,A1,
L2-P,A2,
L3-P,A3,
L4-P,A4,
L5-P,A5,
L6-P,A6,
LMP-P,A7,
LMS-P,A8,
L1-S,B1,
L2-S,B2,
L3-S,B3,
L4-S,B4,
L5-S,B5,
L6-S,B6,
LMP-S,B7,
LMS-S,B8,
UTR1-S,C1,
UTR2-S,C2,
UTR3-S,C3,
UTR1-RBS1-P,C4,
UTR1-RBS2-P,C5,
UTR1-RBS3-P,C6,
UTR2-RBS1-P,C7,
UTR2-RBS2-P,C8,
UTR2-RBS3-P,C9,
UTR3-RBS1-P,C10,
UTR3-RBS2-P,C11,
UTR3-RBS3-P,C12,
UTR1-RBS-A01-P,D1,
UTR1-RBS-A02-P,D2,
UTR1-RBS-A03-P,D3,
UTR1-RBS-A04-P,D4,
UTR1-RBS-A05-P,D5,
UTR1-RBS-A06-P,D6,
UTR1-RBS-A07-P,D7,
UTR1-RBS-A08-P,D8,
UTR1-RBS-A09-P,D9,
UTR1-RBS-A10-P,D10,
UTR1-RBS-A11-P,D11,
UTR1-RBS-A12-P,D12,
UTR2-RBS-A01-P,E1,
UTR2-RBS-A02-P,E2,
UTR2-RBS-A03-P,E3,
UTR2-RBS-A04-P,E4,
UTR2-RBS-A05-P,E5,
UTR2-RBS-A06-P,E6,
UTR2-RBS-A07-P,E7,
UTR2-RBS-A08-P,E8,
UTR2-RBS-A09-P,E9,
UTR2-RBS-A10-P,E10,
UTR2-RBS-A11-P,E11,
UTR2-RBS-A12-P,E12,
UTR3-RBS-A01-P,F1,
UTR3-RBS-A02-P,F2,
UTR3-RBS-A03-P,F3,
UTR3-RBS-A04-P,F4,
UTR3-RBS-A05-P,F5,
UTR3-RBS-A06-P,F6,
UTR3-RBS-A07-P,F7,
UTR3-RBS-A08-P,F8,
UTR3-RBS-A09-P,F9,
UTR3-RBS-A10-P,F10,
UTR3-RBS-A11-P,F11,
UTR3-RBS-A12-P,F12,
UTR1-RBS-AM12-P,A10,
UTR1-RBS-AM24-P,B10,
UTR2-RBS-AM12-P,A11,
UTR2-RBS-AM24-P,B11,
UTR3-RBS-AM12-P,A12,
UTR3-RBS-AM24-P,B12,
