MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",129.0
Water,666.5
NEB BsaI-HFv2,43.0
Promega T4 DNA Ligase,21.5

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGEIO_BASIC_RBS_EXT_SET.csv,C:/Users/mh2210/Box/Work_box/Python/OT2/repo/test/test_source_csvs/BIOLEGEIO_BASIC_RBS_EXT_SET.csv
5,Source_plate_2_230419.csv,C:/Users/mh2210/Box/Work_box/Python/OT2/repo/test/test_source_csvs/Source_plate_2_230419.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,Cam-p15A_SEVA,LMP-S,7,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7', 'G7')"
LMP-P,Terminator-J23119-RiboJ,UTR1-S,1,"('H7',)"
UTR1-RBS1-P,GFP,UTR2-S,2,"('A8', 'B8')"
UTR2-RBS1-P,BFP,UTR3-S,4,"('C8', 'D8', 'E8', 'F8')"
UTR3-RBS1-P,RFP,LMS-S,2,"('G8', 'H8')"
UTR3-RBS3-P,RFP,LMS-S,2,"('A9', 'B9')"
UTR2-RBS3-P,BFP,UTR3-S,4,"('C9', 'D9', 'E9', 'F9')"
LMP-P,Terminator-J23119-RiboJ,UTR2-S,1,"('G9',)"
UTR3-RBS1-P,RFP,UTR1-S,2,"('H9', 'A10')"
UTR1-RBS1-P,GFP,LMS-S,2,"('B10', 'C10')"
UTR3-RBS3-P,RFP,UTR1-S,2,"('D10', 'E10')"
UTR1-RBS2-P,GFP,UTR2-S,2,"('F10', 'G10')"
UTR1-RBS2-P,GFP,LMS-S,2,"('H10', 'A11')"
UTR1-RBS3-P,GFP,UTR2-S,1,"('B11',)"
UTR1-RBS3-P,GFP,LMS-S,1,"('C11',)"
LMP-P,Terminator-J23104-RiboJ,UTR1-S,1,"('D11',)"
LMP-P,Terminator-J23104-RiboJ,UTR2-S,1,"('E11',)"
LMP-P,Terminator-J23106-RiboJ,UTR1-S,1,"('F11',)"
LMP-P,Terminator-J23106-RiboJ,UTR2-S,1,"('G11',)"
LMP-P,Terminator-J23105-RiboJ,UTR1-S,1,"('H11',)"
LMP-P,Terminator-J23105-RiboJ,UTR2-S,1,"('A12',)"

