A1,"['A7', 'G7', 'H7', 'B8', 'E8']"
B1,"['A7', 'G7', 'H7', 'B8', 'G8']"
C1,"['A7', 'G7', 'H7', 'A9', 'E8']"
D1,"['A7', 'G7', 'H7', 'A9', 'G8']"
E1,"['A7', 'D9', 'B8', 'E9', 'G9']"
F1,"['A7', 'D9', 'B8', 'A10', 'G9']"
G1,"['A7', 'D9', 'A9', 'E9', 'G9']"
H1,"['A7', 'D9', 'A9', 'A10', 'G9']"
A2,"['A7', 'G7', 'C10', 'B8', 'E8']"
B2,"['A7', 'G7', 'C10', 'B8', 'G8']"
C2,"['A7', 'G7', 'C10', 'A9', 'E8']"
D2,"['A7', 'G7', 'C10', 'A9', 'G8']"
E2,"['A7', 'D9', 'B8', 'E9', 'E10']"
F2,"['A7', 'D9', 'B8', 'A10', 'E10']"
G2,"['A7', 'D9', 'A9', 'E9', 'E10']"
H2,"['B7', 'D9', 'A9', 'A10', 'E10']"
A3,"['B7', 'G10', 'H10', 'B8', 'E8']"
B3,"['B7', 'G10', 'H10', 'B8', 'G8']"
C3,"['B7', 'G10', 'H10', 'A9', 'E8']"
D3,"['B7', 'G10', 'H10', 'A9', 'G8']"
E3,"['B7', 'A11', 'B8', 'E9', 'B11']"
F3,"['B7', 'A11', 'B8', 'A10', 'B11']"
G3,"['B7', 'A11', 'A9', 'E9', 'B11']"
H3,"['B7', 'A11', 'A9', 'A10', 'B11']"
A4,"['B7', 'G10', 'H7', 'B8', 'E8']"
B4,"['B7', 'G10', 'H7', 'B8', 'G8']"
C4,"['B7', 'G10', 'H7', 'A9', 'E8']"
D4,"['B7', 'G10', 'H7', 'A9', 'G8']"
E4,"['B7', 'A11', 'B8', 'E9', 'G9']"
F4,"['B7', 'A11', 'C8', 'A10', 'G9']"
G4,"['C7', 'A11', 'A9', 'E9', 'G9']"
H4,"['C7', 'A11', 'B9', 'A10', 'G9']"
A5,"['C7', 'G10', 'C10', 'C8', 'E8']"
B5,"['C7', 'G10', 'C10', 'C8', 'G8']"
C5,"['C7', 'G10', 'C10', 'B9', 'E8']"
D5,"['C7', 'G10', 'C10', 'B9', 'G8']"
E5,"['C7', 'A11', 'C8', 'E9', 'E10']"
F5,"['C7', 'A11', 'C8', 'A10', 'E10']"
G5,"['C7', 'A11', 'B9', 'E9', 'E10']"
H5,"['C7', 'A11', 'B9', 'A10', 'E10']"
A6,"['C7', 'C11', 'H10', 'C8', 'E8']"
B6,"['C7', 'C11', 'H10', 'C8', 'G8']"
C6,"['C7', 'C11', 'H10', 'B9', 'E8']"
D6,"['C7', 'C11', 'H10', 'B9', 'G8']"
E6,"['C7', 'D11', 'C8', 'E9', 'B11']"
F6,"['D7', 'D11', 'C8', 'A10', 'B11']"
G6,"['D7', 'D11', 'B9', 'E9', 'B11']"
H6,"['D7', 'D11', 'B9', 'A10', 'B11']"
A7,"['D7', 'C11', 'H7', 'C8', 'E8']"
B7,"['D7', 'C11', 'H7', 'C8', 'G8']"
C7,"['D7', 'C11', 'H7', 'B9', 'E8']"
D7,"['D7', 'C11', 'H7', 'B9', 'G8']"
E7,"['D7', 'D11', 'C8', 'E9', 'G9']"
F7,"['D7', 'D11', 'C8', 'A10', 'G9']"
G7,"['D7', 'D11', 'B9', 'E9', 'G9']"
H7,"['D7', 'D11', 'B9', 'A10', 'G9']"
A8,"['D7', 'C11', 'C10', 'C8', 'E8']"
B8,"['D7', 'C11', 'C10', 'C8', 'G8']"
C8,"['D7', 'C11', 'C10', 'B9', 'F8']"
D8,"['D7', 'C11', 'C10', 'B9', 'H8']"
E8,"['E7', 'D11', 'D8', 'E9', 'E10']"
F8,"['E7', 'D11', 'D8', 'A10', 'E10']"
G8,"['E7', 'D11', 'C9', 'F9', 'E10']"
H8,"['E7', 'D11', 'C9', 'B10', 'E10']"
A9,"['E7', 'E11', 'H10', 'D8', 'F8']"
B9,"['E7', 'E11', 'H10', 'D8', 'H8']"
C9,"['E7', 'E11', 'H10', 'C9', 'F8']"
D9,"['E7', 'E11', 'H10', 'C9', 'H8']"
E9,"['E7', 'F11', 'D8', 'F9', 'B11']"
F9,"['E7', 'F11', 'D8', 'B10', 'B11']"
G9,"['E7', 'F11', 'C9', 'F9', 'B11']"
H9,"['E7', 'F11', 'C9', 'B10', 'B11']"
A10,"['E7', 'E11', 'H7', 'D8', 'F8']"
B10,"['E7', 'E11', 'H7', 'D8', 'H8']"
C10,"['E7', 'E11', 'H7', 'C9', 'F8']"
D10,"['F7', 'E11', 'A8', 'C9', 'H8']"
E10,"['F7', 'F11', 'D8', 'F9', 'G9']"
F10,"['F7', 'F11', 'D8', 'B10', 'G9']"
G10,"['F7', 'F11', 'C9', 'F9', 'G9']"
H10,"['F7', 'F11', 'C9', 'B10', 'H9']"
A11,"['F7', 'E11', 'C10', 'D8', 'F8']"
B11,"['F7', 'E11', 'C10', 'D8', 'H8']"
C11,"['F7', 'E11', 'C10', 'C9', 'F8']"
D11,"['F7', 'E11', 'D10', 'C9', 'H8']"
E11,"['F7', 'F11', 'D8', 'F9', 'E10']"
F11,"['F7', 'F11', 'D8', 'B10', 'E10']"
G11,"['F7', 'F11', 'C9', 'F9', 'E10']"
H11,"['F7', 'F11', 'C9', 'B10', 'F10']"
