,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5
0,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0
1,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0
2,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0
3,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0
4,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0
5,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0
6,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0
7,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,UTR1-RBS2,BASIC_sfGFP_ORF_v1.0
8,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0
9,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0
10,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0
11,BASIC_L3S2P21_J23105_RiboJ,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0
12,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0
13,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0
14,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0
15,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS3,BASIC_BFP_ORF_v1.0,UTR3-RBS3,BASIC_RFP_ORF_v1.0,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0
16,BASIC_L3S2P21_J23106_RiboJ,UTR1-RBS1,BASIC_sfGFP_ORF_v1.0,UTR2-RBS1,BASIC_BFP_ORF_v1.0,UTR3-RBS1,BASIC_RFP_ORF_v1.0
