MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",120.0
Water,620.0
NEB BsaI-HFv2,40.0
Promega T4 DNA Ligase,20.0

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_STD_SET.csv,C:/Users/mh2210/github_repos/dnabot/examples/part_linker_csvs/BIOLEGIO_BASIC_STD_SET.csv
5,part_plate_2_230419.csv,C:/Users/mh2210/github_repos/dnabot/examples/part_linker_csvs/part_plate_2_230419.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A.1,LMP-S,6,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7')"
LMP-P,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-S,1,"('G7',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF.1,UTR2-S,2,"('H7', 'A8')"
UTR2-RBS1-P,BASIC_BFP_ORF.1,UTR3-S,3,"('B8', 'C8', 'D8')"
UTR3-RBS1-P,BASIC_RFP_ORF.1,LMS-S,2,"('E8', 'F8')"
UTR3-RBS3-P,BASIC_RFP_ORF.1,LMS-S,2,"('G8', 'H8')"
UTR2-RBS3-P,BASIC_BFP_ORF.1,UTR3-S,3,"('A9', 'B9', 'C9')"
LMP-P,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-S,1,"('D9',)"
UTR3-RBS1-P,BASIC_RFP_ORF.1,UTR1-S,2,"('E9', 'F9')"
UTR1-RBS2-P,BASIC_sfGFP_ORF.1,LMS-S,2,"('G9', 'H9')"
UTR3-RBS3-P,BASIC_RFP_ORF.1,UTR1-S,2,"('A10', 'B10')"
UTR1-RBS3-P,BASIC_sfGFP_ORF.1,UTR2-S,2,"('C10', 'D10')"
UTR1-RBS3-P,BASIC_sfGFP_ORF.1,LMS-S,2,"('E10', 'F10')"
LMP-P,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-S,1,"('G10',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF.1,UTR2-S,1,"('H10',)"
LMP-P,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-S,1,"('A11',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF.1,LMS-S,1,"('B11',)"
LMP-P,BASIC_L3S2P21_J23101_RiboJ.1,UTR1-S,1,"('C11',)"
LMP-P,BASIC_L3S2P21_J23101_RiboJ.1,UTR2-S,1,"('D11',)"
LMP-P,BASIC_L3S2P21_J23104_RiboJ.1,UTR1-S,1,"('E11',)"
LMP-P,BASIC_L3S2P21_J23104_RiboJ.1,UTR2-S,1,"('F11',)"

