,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5
0,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
1,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
2,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
3,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
4,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
5,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
6,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
7,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
8,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
9,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
10,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
11,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
12,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1
13,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1
14,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1
15,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1
16,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
17,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
18,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
19,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS1,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
20,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1
21,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1
22,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1
23,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS1,BASIC_sfGFP_ORF.1
24,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
25,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
26,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
27,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1
28,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
29,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
30,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
31,BASIC_L3S2P21_J23106_RiboJ.1,UTR2-RBS3,BASIC_BFP_ORF.1,UTR3-RBS3,BASIC_RFP_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1
32,BASIC_L3S2P21_J23106_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_BFP_ORF.1,UTR3-RBS1,BASIC_RFP_ORF.1
