Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
A1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
B1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
C1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
D1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
F1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
G1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
H1,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS2,BASIC_sfGFP_ORF.1,,,,,,,,,,
A2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
B2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
C2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,,,,,,,,,,
D2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
F2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
G2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
H2,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23105_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
