Deck position,Well,Component name,Concentration (ng/uL)
1,A1,L1-P,
1,A2,L2-P,
1,A3,L3-P,
1,A4,L4-P,
1,A5,L5-P,
1,A6,L6-P,
1,A7,LMP-P,
1,A8,LMS-P,
1,B1,L1-S,
1,B2,L2-S,
1,B3,L3-S,
1,B4,L4-S,
1,B5,L5-S,
1,B6,L6-S,
1,B7,LMP-S,
1,B8,LMS-S,
2,C1,UTR1-S,
2,C2,UTR2-S,
2,C3,UTR3-S,
2,C4,UTR1-RBS1-P,
2,C5,UTR1-RBS2-P,
2,C6,UTR1-RBS3-P,
2,C7,UTR2-RBS1-P,
2,C8,UTR2-RBS2-P,
2,C9,UTR2-RBS3-P,
2,C10,UTR3-RBS1-P,
2,C11,UTR3-RBS2-P,
2,C12,UTR3-RBS3-P,
2,A10,UTR1-RBS-AM12-P,
2,B10,UTR1-RBS-AM24-P,
2,A11,UTR2-RBS-AM12-P,
2,B11,UTR2-RBS-AM24-P,
2,A12,UTR3-RBS-AM12-P,
2,B12,UTR3-RBS-AM24-P, 
