MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",69.0
Water,356.5
NEB BsaI-HFv2,23.0
Promega T4 DNA Ligase,11.5

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_STD_SET.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/BIOLEGIO_BASIC_STD_SET.csv
5,parts_linkers_160120.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/parts_linkers_160120.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,3,"('A7', 'B7', 'C7')"
LMP-P,BASIC_L3S2P21_J23104_RiboJ,UTR2-S,3,"('D7', 'E7', 'F7')"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('G7',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('H7',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('A8',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('B8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('C8',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('D8',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('E8',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('F8',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('G8',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('H8',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('A9',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('B9',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('C9',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('D9',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('E9',)"

